2025-07-30-1.log:1248: [06:55:50] [Server thread/INFO]: Disconnecting elmololo (/217.83.183.241:62256): Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-07-30-1.log:1249: [06:55:50] [Server thread/INFO]: elmololo (/217.83.183.241:62256) lost connection: Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-07-30-1.log:1252: [06:56:06] [Server thread/INFO]: Disconnecting elmololo (/217.83.183.241:60329): Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-07-30-1.log:1253: [06:56:06] [Server thread/INFO]: elmololo (/217.83.183.241:60329) lost connection: Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-07-30-1.log:1263: [06:57:30] [Server thread/INFO]: Disconnecting elmololo (/217.83.183.241:62309): Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-07-30-1.log:1264: [06:57:30] [Server thread/INFO]: elmololo (/217.83.183.241:62309) lost connection: Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-07-30-1.log:1415: [07:45:42] [Server thread/INFO]: Disconnecting elmololo (/217.83.183.241:61003): Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-07-30-1.log:1416: [07:45:42] [Server thread/INFO]: elmololo (/217.83.183.241:61003) lost connection: Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-07-31-1.log:2573: [14:12:30] [Server thread/INFO]: Disconnecting HustlerScheme (/47.141.65.141:55328): Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-07-31-1.log:2574: [14:12:30] [Server thread/INFO]: HustlerScheme (/47.141.65.141:55328) lost connection: Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-07-31-1.log:2576: [14:12:38] [Server thread/INFO]: Disconnecting HustlerScheme (/47.141.65.141:55364): Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-07-31-1.log:2577: [14:12:39] [Server thread/INFO]: HustlerScheme (/47.141.65.141:55364) lost connection: Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-07-31-1.log:3717: [20:21:58] [Server thread/INFO]: Disconnecting HustlerScheme (/47.141.65.141:52058): Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-07-31-1.log:3718: [20:21:58] [Server thread/INFO]: HustlerScheme (/47.141.65.141:52058) lost connection: Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-08-01-1.log:2749: [15:39:21] [Server thread/INFO]: Disconnecting __extra__ (/179.61.228.146:65213): Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-08-01-1.log:2750: [15:39:21] [Server thread/INFO]: __extra__ (/179.61.228.146:65213) lost connection: Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-08-01-1.log:3075: [17:26:18] [Server thread/INFO]: Disconnecting HustlerScheme (/47.141.65.141:61358): Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-08-01-1.log:3076: [17:26:18] [Server thread/INFO]: HustlerScheme (/47.141.65.141:61358) lost connection: Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-08-02-1.log:1581: [09:02:39] [Server thread/INFO]: Disconnecting __extra__ (/179.61.228.181:57222): Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-08-02-1.log:1582: [09:02:39] [Server thread/INFO]: __extra__ (/179.61.228.181:57222) lost connection: Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-08-02-1.log:2359: [13:32:09] [Server thread/INFO]: Disconnecting __extra__ (/179.61.228.133:63880): Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-08-02-1.log:2360: [13:32:09] [Server thread/INFO]: __extra__ (/179.61.228.133:63880) lost connection: Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-08-03-1.log:1741: [09:54:09] [Server thread/INFO]: Disconnecting Fletari (/94.19.239.14:50596): Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-08-03-1.log:1742: [09:54:09] [Server thread/INFO]: Fletari (/94.19.239.14:50596) lost connection: Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-08-03-1.log:1744: [09:54:26] [Server thread/INFO]: Disconnecting Fletari (/94.19.239.14:50597): Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
2025-08-03-1.log:1745: [09:54:26] [Server thread/INFO]: Fletari (/94.19.239.14:50597) lost connection: Under maintenance at the moment, join back later today! Or maybe u forgot to drop ur name on the Discord :)).
